method,sample_type,seed,training_accuracy,testing_accuracy,training_time,f1_score,roc_auc
DecisionTreeClassifier,random,0,0.9972652689152234,0.9127272727272727,0.003749174007680267,0.9,0.9127712404188708
DecisionTreeClassifier,random,1,0.9990884229717412,0.8945454545454545,0.0026248369831591845,0.8796680497925311,0.8943646766706251
DecisionTreeClassifier,random,2,0.9981768459434822,0.9236363636363636,0.002372112008742988,0.9219330855018587,0.9242424242424243
DecisionTreeClassifier,random,3,0.9972652689152234,0.9309090909090909,0.0024504670000169426,0.9107981220657277,0.9259290164663997
DecisionTreeClassifier,random,4,0.9963536918869644,0.8727272727272727,0.002447650011163205,0.8547717842323651,0.8762847560315914
DecisionTreeClassifier,random,5,0.9945305378304466,0.8581818181818182,0.002811619982821867,0.8470588235294118,0.8584805277718663
DecisionTreeClassifier,random,6,0.9954421148587056,0.8836363636363637,0.0024782370019238442,0.8778625954198473,0.8855864493448385
DecisionTreeClassifier,random,7,0.9963536918869644,0.8981818181818182,0.002291434007929638,0.8803418803418803,0.8958671427025857
DecisionTreeClassifier,random,8,1.0,0.8654545454545455,0.0023911379976198077,0.8398268398268398,0.863326795248992
DecisionTreeClassifier,random,9,0.9981768459434822,0.8836363636363637,0.002629405993502587,0.8699186991869918,0.8830516581632653
DecisionTreeClassifier,random,10,0.9981768459434822,0.9018181818181819,0.0024222639913205057,0.8906882591093117,0.9011018399657681
DecisionTreeClassifier,random,11,0.9990884229717412,0.88,0.0023812279978301376,0.8607594936708861,0.8860415293342122
DecisionTreeClassifier,random,12,0.9990884229717412,0.8909090909090909,0.002379715006100014,0.8695652173913043,0.8827956989247312
DecisionTreeClassifier,random,13,0.9990884229717412,0.9054545454545454,0.002396156021859497,0.8925619834710744,0.9048387096774193
DecisionTreeClassifier,random,14,0.9981768459434822,0.88,0.002247772994451225,0.8754716981132076,0.8828699264940875
DecisionTreeClassifier,random,15,0.9972652689152234,0.8618181818181818,0.002385648025665432,0.8623188405797102,0.8686162322525958
DecisionTreeClassifier,random,16,0.9990884229717412,0.8545454545454545,0.002413809997960925,0.8373983739837398,0.8537082751958786
DecisionTreeClassifier,random,17,0.9990884229717412,0.8836363636363637,0.0023609030176885426,0.8709677419354839,0.8882667964946447
DecisionTreeClassifier,random,18,0.9990884229717412,0.84,0.002654911979334429,0.8103448275862069,0.8327717158750534
DecisionTreeClassifier,random,19,0.9972652689152234,0.8981818181818182,0.0022821369930170476,0.8955223880597015,0.8976515391939068
DecisionTreeClassifier,random,20,0.9990884229717412,0.8763636363636363,0.002272709010867402,0.8650793650793651,0.8819094129011484
DecisionTreeClassifier,random,21,0.9963536918869644,0.8909090909090909,0.0025891209952533245,0.8780487804878049,0.8928533161898639
DecisionTreeClassifier,random,22,0.9990884229717412,0.8763636363636363,0.0024071260122582316,0.864,0.8753333333333333
DecisionTreeClassifier,random,23,0.9972652689152234,0.8945454545454545,0.002326747984625399,0.888030888030888,0.8939949028352979
DecisionTreeClassifier,random,24,0.9990884229717412,0.8727272727272727,0.002888451999751851,0.8679245283018868,0.8755193352508789
DecisionTreeClassifier,random,25,0.9972652689152234,0.8872727272727273,0.002416995004750788,0.8755020080321285,0.8846543091509536
DecisionTreeClassifier,random,26,0.9954421148587056,0.9090909090909091,0.002607765985885635,0.8936170212765957,0.9063478354744683
DecisionTreeClassifier,random,27,1.0,0.8981818181818182,0.0026719130109995604,0.8803418803418803,0.8967957059206246
DecisionTreeClassifier,random,28,0.9990884229717412,0.9018181818181819,0.002798767003696412,0.889795918367347,0.8999518613607189
DecisionTreeClassifier,random,29,0.9954421148587056,0.9018181818181819,0.0025380879815202206,0.8888888888888888,0.8997799720940217
DecisionTreeClassifier,random,30,0.9972652689152234,0.8581818181818182,0.0025636350037530065,0.8560885608856088,0.8577252991634015
DecisionTreeClassifier,random,31,0.9990884229717412,0.8690909090909091,0.002543578011682257,0.8582677165354331,0.8753913418978733
DecisionTreeClassifier,random,32,0.9981768459434822,0.9090909090909091,0.002822720998665318,0.897119341563786,0.9099062702003877
DecisionTreeClassifier,random,33,0.9963536918869644,0.8872727272727273,0.0026078359805978835,0.8774703557312253,0.8910483870967744
DecisionTreeClassifier,random,34,0.9981768459434822,0.8545454545454545,0.0023711810063105077,0.8373983739837398,0.8506590136054422
DecisionTreeClassifier,random,35,0.9990884229717412,0.9054545454545454,0.002306982991285622,0.8818181818181818,0.9015151515151516
DecisionTreeClassifier,random,36,0.9963536918869644,0.8836363636363637,0.0030641559860669076,0.872,0.8902714932126697
DecisionTreeClassifier,random,37,0.9972652689152234,0.88,0.0028674329805653542,0.8685258964143426,0.8789066666666666
DecisionTreeClassifier,random,38,0.9990884229717412,0.9054545454545454,0.002673958020750433,0.8992248062015504,0.9047745358090186
DecisionTreeClassifier,random,39,0.9981768459434822,0.8909090909090909,0.00298444798681885,0.8818897637795275,0.8894711640774633
DecisionTreeClassifier,random,40,0.9981768459434822,0.8836363636363637,0.0025884690112434328,0.872,0.8846194727891157
DecisionTreeClassifier,random,41,0.9981768459434822,0.8763636363636363,0.002629435999551788,0.8617886178861789,0.8734039157267502
DecisionTreeClassifier,random,42,0.9990884229717412,0.8727272727272727,0.0024902800214476883,0.8616600790513834,0.8717014258352841
DecisionTreeClassifier,random,43,0.9981768459434822,0.8836363636363637,0.002641327999299392,0.8699186991869918,0.8813287759025848
DecisionTreeClassifier,random,44,1.0,0.8581818181818182,0.002547654992667958,0.8505747126436781,0.8583147499203567
DecisionTreeClassifier,random,45,0.9972652689152234,0.9018181818181819,0.0024846089945640415,0.8744186046511628,0.9010908681961314
DecisionTreeClassifier,random,46,0.9990884229717412,0.9090909090909091,0.0026462050154805183,0.8987854251012146,0.9106210716948971
DecisionTreeClassifier,random,47,0.9972652689152234,0.8872727272727273,0.002376058982918039,0.8724279835390947,0.8864516129032258
DecisionTreeClassifier,random,48,0.9963536918869644,0.8981818181818182,0.0024480120046064258,0.8978102189781022,0.9012424338961452
DecisionTreeClassifier,random,49,0.9981768459434822,0.8872727272727273,0.0023114910000003874,0.8784313725490196,0.8939733333333333
DecisionTreeClassifier,random,50,0.9972652689152234,0.9127272727272727,0.0022728600015398115,0.9,0.9106451612903226
DecisionTreeClassifier,random,51,0.9990884229717412,0.8909090909090909,0.002417835989035666,0.8672566371681416,0.8845380434782609
DecisionTreeClassifier,random,52,0.9981768459434822,0.8981818181818182,0.0023868790012784302,0.8833333333333333,0.900977005289863
DecisionTreeClassifier,random,53,0.9972652689152234,0.9309090909090909,0.0023464249970857054,0.9254901960784314,0.9316266666666666
DecisionTreeClassifier,random,54,1.0,0.8872727272727273,0.0022613579931203276,0.8734693877551021,0.889695562992551
DecisionTreeClassifier,random,55,0.9963536918869644,0.9054545454545454,0.002457369992043823,0.8898305084745762,0.9054347826086957
DecisionTreeClassifier,random,56,0.9990884229717412,0.9163636363636364,0.0028800359868910164,0.8995633187772926,0.9166301489921123
DecisionTreeClassifier,random,57,0.9981768459434822,0.9090909090909091,0.0024527299974579364,0.8927038626609443,0.9102147039687704
DecisionTreeClassifier,random,58,0.9954421148587056,0.8545454545454545,0.0027582229813560843,0.8347107438016529,0.8528873087696617
DecisionTreeClassifier,random,59,0.9972652689152234,0.8945454545454545,0.002600281994091347,0.8733624454148472,0.8877253589549823
DecisionTreeClassifier,random,60,0.9981768459434822,0.8727272727272727,0.0024800400133244693,0.8547717842323651,0.8706451612903225
DecisionTreeClassifier,random,61,0.9990884229717412,0.8909090909090909,0.002576156985014677,0.8636363636363636,0.8828253031792854
DecisionTreeClassifier,random,62,0.9990884229717412,0.88,0.00268674100516364,0.8493150684931506,0.8807563025210083
DecisionTreeClassifier,random,63,0.9990884229717412,0.9018181818181819,0.002528359997086227,0.8841201716738197,0.9046067046450482
DecisionTreeClassifier,random,64,0.9972652689152234,0.9018181818181819,0.0024947969941422343,0.8831168831168831,0.902663043478261
DecisionTreeClassifier,random,65,0.9981768459434822,0.8690909090909091,0.0025140829966403544,0.8487394957983193,0.864211706900235
DecisionTreeClassifier,random,66,0.9972652689152234,0.8436363636363636,0.002319655002793297,0.8413284132841329,0.8453580901856763
DecisionTreeClassifier,random,67,0.9972652689152234,0.8618181818181818,0.0025615610065869987,0.8429752066115702,0.8590322580645161
DecisionTreeClassifier,random,68,1.0,0.8872727272727273,0.0024873049987945706,0.8793774319066148,0.8886666666666666
DecisionTreeClassifier,random,69,0.9963536918869644,0.8690909090909091,0.0022931069834157825,0.8571428571428571,0.8751207470215734
DecisionTreeClassifier,random,70,0.9972652689152234,0.8909090909090909,0.0024366119760088623,0.8828125,0.8935229829636774
DecisionTreeClassifier,random,71,0.9981768459434822,0.8763636363636363,0.002506087999790907,0.8629032258064516,0.872366460949138
DecisionTreeClassifier,random,72,0.9954421148587056,0.8727272727272727,0.0025115979951806366,0.8559670781893004,0.8665333333333332
DecisionTreeClassifier,random,73,0.9972652689152234,0.8727272727272727,0.0025363029853906482,0.8627450980392157,0.8708222811671088
DecisionTreeClassifier,random,74,0.9963536918869644,0.8763636363636363,0.002470933977747336,0.8702290076335878,0.8779162671780121
DecisionTreeClassifier,random,75,0.9990884229717412,0.9272727272727272,0.002274591999594122,0.9180327868852459,0.9256792896876337
DecisionTreeClassifier,random,76,0.9972652689152234,0.8763636363636363,0.0024020170094445348,0.8721804511278195,0.87570083571353
DecisionTreeClassifier,random,77,0.9981768459434822,0.8836363636363637,0.0028487499803304672,0.8709677419354839,0.8809334182860784
DecisionTreeClassifier,random,78,0.9963536918869644,0.8654545454545455,0.0026788369868882,0.832579185520362,0.8613076157842379
DecisionTreeClassifier,random,79,0.9981768459434822,0.8654545454545455,0.0027970240043941885,0.8683274021352313,0.8651381976066927
DecisionTreeClassifier,random,80,0.9972652689152234,0.9236363636363636,0.002474310982506722,0.9156626506024096,0.9247978293253885
DecisionTreeClassifier,random,81,0.9981768459434822,0.9090909090909091,0.002748425002209842,0.8987854251012146,0.9108870967741935
DecisionTreeClassifier,random,82,1.0,0.8618181818181818,0.002641847007907927,0.8347826086956521,0.8571893298633702
DecisionTreeClassifier,random,83,0.9972652689152234,0.88,0.0025677419907879084,0.8782287822878229,0.8790066645509362
DecisionTreeClassifier,random,84,0.9981768459434822,0.8763636363636363,0.0023562139831483364,0.864,0.8739733333333333
DecisionTreeClassifier,random,85,0.9990884229717412,0.8872727272727273,0.0025370960065629333,0.8838951310861424,0.8871582962492054
